Time (s),AIN0,AIN1
0.348,0.09153380990028381,0.09153064340353012
0.349,0.09153380990028381,0.09153380990028381
0.35,0.0915369763970375,0.09153064340353012
0.351,0.0915369763970375,0.0915369763970375
0.352,0.0915369763970375,0.09153380990028381
0.353,0.09160657227039337,0.09160657227039337
0.354,0.09166668355464935,0.09166035056114197
0.355,0.0916919857263565,0.0916919857263565
0.356,0.09171729534864426,0.09170464426279068
0.357,0.09173311293125153,0.09172362089157104
0.358,0.09173627942800522,0.09173311293125153
0.359,0.091742604970932,0.09173943847417831
0.36,0.0917489305138588,0.091742604970932
0.361,0.09175209701061249,0.09175209701061249
0.362,0.09175526350736618,0.09175209701061249
0.363,0.09175526350736618,0.0917489305138588
0.364,0.09176158905029297,0.09175842255353928
0.365,0.09175842255353928,0.09175526350736618
0.366,0.09176474809646606,0.09176158905029297
0.367,0.09176474809646606,0.09175526350736618
0.368,0.09176158905029297,0.09175842255353928
0.369,0.09176474809646606,0.09175842255353928
0.37,0.09176791459321976,0.09176474809646606
0.371,0.09176474809646606,0.09176158905029297
0.372,0.09177108108997345,0.09175842255353928
0.373,0.09176158905029297,0.09175526350736618
0.374,0.09176158905029297,0.09176474809646606
0.375,0.09171413630247116,0.09171096980571747
0.376,0.09157177060842514,0.09157810360193253
0.377,0.09150217473506927,0.09150217473506927
0.378,0.09146104753017426,0.09145472198724747
0.379,0.09143257886171341,0.09142624586820602
0.38,0.09141042828559875,0.09140726923942566
0.381,0.09139777719974518,0.0913882851600647
0.382,0.09138195961713791,0.09138195961713791
0.383,0.09137563407421112,0.09137246757745743
0.384,0.09137563407421112,0.09136614203453064
0.385,0.09136930108070374,0.09136614203453064
0.386,0.09136297553777695,0.09135981649160385
0.387,0.09135981649160385,0.09135664999485016
0.388,0.09135664999485016,0.09135664999485016
0.389,0.09135664999485016,0.09135664999485016
0.39,0.09135348349809647,0.09135348349809647
0.391,0.09135981649160385,0.09135348349809647
0.392,0.09135664999485016,0.09135032445192337
0.393,0.09135348349809647,0.09135032445192337
0.394,0.09135664999485016,0.09135348349809647
0.395,0.0912870541214943,0.09127756208181381
0.396,0.09123643487691879,0.091230109333992
